Original query:
parallel languages languages for parallel computation
10 Q0 CACM-2723 65 114.13752645268987 PseudoRel_BM25System
10 Q0 CACM-1928 66 110.23856724901135 PseudoRel_BM25System
10 Q0 CACM-1811 67 105.6447323127343 PseudoRel_BM25System
10 Q0 CACM-2692 68 79.4745679573902 PseudoRel_BM25System
10 Q0 CACM-1485 69 28.42954231904871 PseudoRel_BM25System
10 Q0 CACM-2254 70 28.10637915071879 PseudoRel_BM25System
10 Q0 CACM-2316 71 27.47300357874166 PseudoRel_BM25System
10 Q0 CACM-2705 72 26.201198798882533 PseudoRel_BM25System
10 Q0 CACM-2645 73 25.409519774699007 PseudoRel_BM25System
10 Q0 CACM-1703 74 24.866657690052563 PseudoRel_BM25System
10 Q0 CACM-2252 75 24.480309704290214 PseudoRel_BM25System
10 Q0 CACM-1852 76 24.341896406934943 PseudoRel_BM25System
10 Q0 CACM-2652 77 24.24301289257339 PseudoRel_BM25System
10 Q0 CACM-1459 78 23.882943736025876 PseudoRel_BM25System
10 Q0 CACM-1366 79 23.584543456235995 PseudoRel_BM25System
10 Q0 CACM-2192 80 23.25639334743443 PseudoRel_BM25System
10 Q0 CACM-2940 81 22.540673292726737 PseudoRel_BM25System
10 Q0 CACM-1470 82 22.53659802835085 PseudoRel_BM25System
10 Q0 CACM-2411 83 21.93329308604976 PseudoRel_BM25System
10 Q0 CACM-2644 84 21.28336670237915 PseudoRel_BM25System
10 Q0 CACM-2305 85 21.235209742405573 PseudoRel_BM25System
10 Q0 CACM-1835 86 21.086244176230686 PseudoRel_BM25System
10 Q0 CACM-2704 87 21.01792090920122 PseudoRel_BM25System
10 Q0 CACM-2295 88 20.883708688687406 PseudoRel_BM25System
10 Q0 CACM-1395 89 20.861468201053015 PseudoRel_BM25System
10 Q0 CACM-2084 90 20.826216616359243 PseudoRel_BM25System
10 Q0 CACM-3077 91 20.822459040477217 PseudoRel_BM25System
10 Q0 CACM-3148 92 20.76721148969389 PseudoRel_BM25System
10 Q0 CACM-1098 93 20.6543266776155 PseudoRel_BM25System
10 Q0 CACM-3150 94 20.65075631447138 PseudoRel_BM25System
10 Q0 CACM-2603 95 20.398424035612965 PseudoRel_BM25System
10 Q0 CACM-2546 96 20.294496157275933 PseudoRel_BM25System
10 Q0 CACM-2317 97 20.27806879223281 PseudoRel_BM25System
10 Q0 CACM-2661 98 20.117288707616396 PseudoRel_BM25System
10 Q0 CACM-2929 99 19.929567987506942 PseudoRel_BM25System
10 Q0 CACM-3171 100 19.905944009262274 PseudoRel_BM25System
