parallel processors and paging algorithms
51 Q0 CACM-1873 61 0.10630835852858135 TFIDFSystem
51 Q0 CACM-1658 62 0.10630835852858135 TFIDFSystem
51 Q0 CACM-2881 63 0.10512152274427711 TFIDFSystem
51 Q0 CACM-2497 64 0.10464042168558008 TFIDFSystem
51 Q0 CACM-1601 65 0.10412561089222008 TFIDFSystem
51 Q0 CACM-2902 66 0.1029441699675503 TFIDFSystem
51 Q0 CACM-1825 67 0.10282354487015213 TFIDFSystem
51 Q0 CACM-1828 68 0.10138546323716165 TFIDFSystem
51 Q0 CACM-1810 69 0.09994296577330987 TFIDFSystem
51 Q0 CACM-1468 70 0.09908893021885593 TFIDFSystem
51 Q0 CACM-2903 71 0.09893661103937315 TFIDFSystem
51 Q0 CACM-2283 72 0.0975130626790944 TFIDFSystem
51 Q0 CACM-2273 73 0.0975130626790944 TFIDFSystem
51 Q0 CACM-2069 74 0.09742970400689098 TFIDFSystem
51 Q0 CACM-2505 75 0.09681654080281515 TFIDFSystem
51 Q0 CACM-2146 76 0.09545292755207128 TFIDFSystem
51 Q0 CACM-3061 77 0.09347803939582154 TFIDFSystem
51 Q0 CACM-2895 78 0.0928348820002926 TFIDFSystem
51 Q0 CACM-1728 79 0.09070812799584206 TFIDFSystem
51 Q0 CACM-1988 80 0.0906068860736984 TFIDFSystem
51 Q0 CACM-2297 81 0.0897666935793827 TFIDFSystem
51 Q0 CACM-2175 82 0.08913585942407845 TFIDFSystem
51 Q0 CACM-2025 83 0.08471447320246327 TFIDFSystem
51 Q0 CACM-2819 84 0.08277444709859005 TFIDFSystem
51 Q0 CACM-1665 85 0.0827636543334687 TFIDFSystem
51 Q0 CACM-2942 86 0.08214736795390377 TFIDFSystem
51 Q0 CACM-2362 87 0.08214736795390377 TFIDFSystem
51 Q0 CACM-2272 88 0.08214736795390377 TFIDFSystem
51 Q0 CACM-2767 89 0.08020305155262794 TFIDFSystem
51 Q0 CACM-2426 90 0.07973126889643602 TFIDFSystem
51 Q0 CACM-2222 91 0.07973126889643602 TFIDFSystem
51 Q0 CACM-2128 92 0.07920120531739776 TFIDFSystem
51 Q0 CACM-1569 93 0.0786254612859621 TFIDFSystem
51 Q0 CACM-2630 94 0.07745323264225212 TFIDFSystem
51 Q0 CACM-2627 95 0.07745323264225212 TFIDFSystem
51 Q0 CACM-2342 96 0.0773624016669105 TFIDFSystem
51 Q0 CACM-2865 97 0.07654266760951278 TFIDFSystem
51 Q0 CACM-1529 98 0.07636234204165702 TFIDFSystem
51 Q0 CACM-2401 99 0.07505157668205473 TFIDFSystem
51 Q0 CACM-2490 100 0.07461091217831628 TFIDFSystem
