concurrency control mechanisms in operating systems
26 Q0 CACM-2742 66 5.8412120611888625 BM25System
26 Q0 CACM-1534 67 5.835172969352091 BM25System
26 Q0 CACM-2866 68 5.822788818342501 BM25System
26 Q0 CACM-2438 69 5.812869370342223 BM25System
26 Q0 CACM-0696 70 5.798734897061051 BM25System
26 Q0 CACM-1552 71 5.738378959995786 BM25System
26 Q0 CACM-1636 72 5.699617291951225 BM25System
26 Q0 CACM-2138 73 5.673538168893376 BM25System
26 Q0 CACM-0300 74 5.661290512929373 BM25System
26 Q0 CACM-2821 75 5.568340432124796 BM25System
26 Q0 CACM-2378 76 5.530410397929813 BM25System
26 Q0 CACM-3141 77 5.5300616609579585 BM25System
26 Q0 CACM-3153 78 5.525140143018376 BM25System
26 Q0 CACM-2888 79 5.495538766149691 BM25System
26 Q0 CACM-2358 80 5.480925095822105 BM25System
26 Q0 CACM-1324 81 5.463702813660847 BM25System
26 Q0 CACM-2624 82 5.444671525422672 BM25System
26 Q0 CACM-0251 83 5.427569183192201 BM25System
26 Q0 CACM-1922 84 5.423333512983785 BM25System
26 Q0 CACM-1485 85 5.420301430511994 BM25System
26 Q0 CACM-2522 86 5.380891720990132 BM25System
26 Q0 CACM-1923 87 5.377771046764795 BM25System
26 Q0 CACM-1844 88 5.357349550007624 BM25System
26 Q0 CACM-2949 89 5.298009332611752 BM25System
26 Q0 CACM-3174 90 5.285873062977895 BM25System
26 Q0 CACM-1226 91 5.272340715509564 BM25System
26 Q0 CACM-1264 92 5.264430384352876 BM25System
26 Q0 CACM-1951 93 5.260303735208604 BM25System
26 Q0 CACM-2709 94 5.206362480266272 BM25System
26 Q0 CACM-1747 95 5.176282402799162 BM25System
26 Q0 CACM-3154 96 5.1163191927519165 BM25System
26 Q0 CACM-3072 97 5.100433838498434 BM25System
26 Q0 CACM-1236 98 5.097145256417479 BM25System
26 Q0 CACM-2767 99 5.072147276077614 BM25System
26 Q0 CACM-3014 100 5.02774634615071 BM25System
