code optim for space effici
2 Q0 CACM-2944 35 -28.911302470926664 SMOOTHQSystem
2 Q0 CACM-2648 36 -28.921623399076786 SMOOTHQSystem
2 Q0 CACM-2819 37 -28.948534644948424 SMOOTHQSystem
2 Q0 CACM-1694 38 -29.053657425595134 SMOOTHQSystem
2 Q0 CACM-2855 39 -29.065217338674284 SMOOTHQSystem
2 Q0 CACM-2722 40 -29.213781600547694 SMOOTHQSystem
2 Q0 CACM-3080 41 -29.228270322300908 SMOOTHQSystem
2 Q0 CACM-2623 42 -29.243105787787933 SMOOTHQSystem
2 Q0 CACM-2929 43 -29.350742353966723 SMOOTHQSystem
2 Q0 CACM-1552 44 -29.407977149851714 SMOOTHQSystem
2 Q0 CACM-2904 45 -29.523565886639247 SMOOTHQSystem
2 Q0 CACM-1901 46 -29.540240588549874 SMOOTHQSystem
2 Q0 CACM-2834 47 -29.583128915210416 SMOOTHQSystem
2 Q0 CACM-3053 48 -29.612709393338775 SMOOTHQSystem
2 Q0 CACM-2276 49 -29.61654712020626 SMOOTHQSystem
2 Q0 CACM-2253 50 -29.636221372404286 SMOOTHQSystem
2 Q0 CACM-2816 51 -29.65808102814772 SMOOTHQSystem
2 Q0 CACM-3033 52 -29.71843410267197 SMOOTHQSystem
2 Q0 CACM-2858 53 -29.735382007343773 SMOOTHQSystem
2 Q0 CACM-3072 54 -29.771948563020565 SMOOTHQSystem
2 Q0 CACM-2081 55 -29.785497294622868 SMOOTHQSystem
2 Q0 CACM-1172 56 -29.790931530228285 SMOOTHQSystem
2 Q0 CACM-3067 57 -29.907366756952833 SMOOTHQSystem
2 Q0 CACM-1066 58 -29.93928201622978 SMOOTHQSystem
2 Q0 CACM-3110 59 -29.956456671457104 SMOOTHQSystem
2 Q0 CACM-2374 60 -29.966675983701343 SMOOTHQSystem
2 Q0 CACM-1564 61 -29.981608829601257 SMOOTHQSystem
2 Q0 CACM-1973 62 -30.032720092842972 SMOOTHQSystem
2 Q0 CACM-2314 63 -30.070790342470154 SMOOTHQSystem
2 Q0 CACM-2185 64 -30.07401089387891 SMOOTHQSystem
2 Q0 CACM-1235 65 -30.085742109357447 SMOOTHQSystem
2 Q0 CACM-2787 66 -30.143714566675655 SMOOTHQSystem
2 Q0 CACM-0849 67 -30.196963068581553 SMOOTHQSystem
2 Q0 CACM-0867 68 -30.20046273318627 SMOOTHQSystem
2 Q0 CACM-1651 69 -30.20092522186991 SMOOTHQSystem
2 Q0 CACM-0940 70 -30.21495712224203 SMOOTHQSystem
2 Q0 CACM-2857 71 -30.288448671761227 SMOOTHQSystem
2 Q0 CACM-3074 72 -30.297653613085465 SMOOTHQSystem
2 Q0 CACM-2464 73 -30.32748211729526 SMOOTHQSystem
2 Q0 CACM-0797 74 -30.35215610371508 SMOOTHQSystem
2 Q0 CACM-1389 75 -30.362539958017248 SMOOTHQSystem
2 Q0 CACM-0066 76 -30.37460315510596 SMOOTHQSystem
2 Q0 CACM-1134 77 -30.38197122295268 SMOOTHQSystem
2 Q0 CACM-3057 78 -30.388528634061863 SMOOTHQSystem
2 Q0 CACM-2220 79 -30.43730649368021 SMOOTHQSystem
2 Q0 CACM-2833 80 -30.438254454481786 SMOOTHQSystem
2 Q0 CACM-2423 81 -30.448919678671558 SMOOTHQSystem
2 Q0 CACM-2734 82 -30.48995254633725 SMOOTHQSystem
2 Q0 CACM-1088 83 -30.52072779417714 SMOOTHQSystem
2 Q0 CACM-3001 84 -30.545004433275423 SMOOTHQSystem
2 Q0 CACM-2111 85 -30.553614376907333 SMOOTHQSystem
2 Q0 CACM-1289 86 -30.56067848609358 SMOOTHQSystem
2 Q0 CACM-1999 87 -30.5948288038077 SMOOTHQSystem
2 Q0 CACM-3054 88 -30.597617163527197 SMOOTHQSystem
2 Q0 CACM-2138 89 -30.61156370033754 SMOOTHQSystem
2 Q0 CACM-2543 90 -30.61703382797167 SMOOTHQSystem
2 Q0 CACM-2611 91 -30.61827638896157 SMOOTHQSystem
2 Q0 CACM-2651 92 -30.63502542844448 SMOOTHQSystem
2 Q0 CACM-0267 93 -30.642843524138463 SMOOTHQSystem
2 Q0 CACM-3027 94 -30.64623861323647 SMOOTHQSystem
2 Q0 CACM-1064 95 -30.656358123318284 SMOOTHQSystem
2 Q0 CACM-0230 96 -30.656358123318284 SMOOTHQSystem
2 Q0 CACM-1738 97 -30.680398097032537 SMOOTHQSystem
2 Q0 CACM-3114 98 -30.69454214741987 SMOOTHQSystem
2 Q0 CACM-2753 99 -30.804237589413077 SMOOTHQSystem
2 Q0 CACM-3041 100 -30.820750564688083 SMOOTHQSystem
