code optim for space effici
2 Q0 CACM-2787 66 5.441705791605483 BM25System
2 Q0 CACM-2745 67 5.425920897657115 BM25System
2 Q0 CACM-3074 68 5.399674712630529 BM25System
2 Q0 CACM-2389 69 5.312293986552557 BM25System
2 Q0 CACM-2185 70 5.301467736950869 BM25System
2 Q0 CACM-1566 71 5.263453859253431 BM25System
2 Q0 CACM-2374 72 5.24422904737569 BM25System
2 Q0 CACM-1999 73 5.227036534128017 BM25System
2 Q0 CACM-3110 74 5.217643863305106 BM25System
2 Q0 CACM-1231 75 5.165518150774057 BM25System
2 Q0 CACM-0849 76 5.1365969897974875 BM25System
2 Q0 CACM-2651 77 5.124809811648669 BM25System
2 Q0 CACM-1651 78 5.062302418980468 BM25System
2 Q0 CACM-1369 79 5.052208097451876 BM25System
2 Q0 CACM-1389 80 5.040608837005344 BM25System
2 Q0 CACM-1362 81 5.0177780403493255 BM25System
2 Q0 CACM-1172 82 5.013476635957602 BM25System
2 Q0 CACM-1134 83 5.0120161100930245 BM25System
2 Q0 CACM-3067 84 4.999866081182053 BM25System
2 Q0 CACM-0048 85 4.968765779204563 BM25System
2 Q0 CACM-2857 86 4.906952462389945 BM25System
2 Q0 CACM-1652 87 4.893801927163953 BM25System
2 Q0 CACM-2835 88 4.893655937770443 BM25System
2 Q0 CACM-1088 89 4.879355749980581 BM25System
2 Q0 CACM-2437 90 4.835747697953374 BM25System
2 Q0 CACM-2964 91 4.833704134632872 BM25System
2 Q0 CACM-2346 92 4.830384817562313 BM25System
2 Q0 CACM-1932 93 4.806119989358577 BM25System
2 Q0 CACM-2888 94 4.799532873497269 BM25System
2 Q0 CACM-0243 95 4.78980249522842 BM25System
2 Q0 CACM-2006 96 4.770446345809111 BM25System
2 Q0 CACM-1655 97 4.7319577139477635 BM25System
2 Q0 CACM-2276 98 4.71240212400429 BM25System
2 Q0 CACM-2729 99 4.711977151313697 BM25System
2 Q0 CACM-3169 100 4.7117403435752925 BM25System
