code optimization for space efficiency
13 Q0 CACM-1652 85 -29.902694073914667 SMOOTHQSystem
13 Q0 CACM-2834 86 -29.92629275776656 SMOOTHQSystem
13 Q0 CACM-1676 87 -29.92812948868699 SMOOTHQSystem
13 Q0 CACM-2389 88 -29.95136645995725 SMOOTHQSystem
13 Q0 CACM-2344 89 -29.985730520816972 SMOOTHQSystem
13 Q0 CACM-1065 90 -30.009091937727163 SMOOTHQSystem
13 Q0 CACM-2586 91 -30.043752136206813 SMOOTHQSystem
13 Q0 CACM-1757 92 -30.043752136206813 SMOOTHQSystem
13 Q0 CACM-0333 93 -30.043752136206813 SMOOTHQSystem
13 Q0 CACM-2569 94 -30.06619307628734 SMOOTHQSystem
13 Q0 CACM-0598 95 -30.071430133473115 SMOOTHQSystem
13 Q0 CACM-1204 96 -30.109581825238713 SMOOTHQSystem
13 Q0 CACM-1670 97 -30.12536686118441 SMOOTHQSystem
13 Q0 CACM-1429 98 -30.16117879081468 SMOOTHQSystem
13 Q0 CACM-1352 99 -30.16117879081468 SMOOTHQSystem
13 Q0 CACM-3154 100 -30.168297179546272 SMOOTHQSystem
