parallel processors in information retrieval
50 Q0 CACM-1725 78 -27.83529374924023 SMOOTHQSystem
50 Q0 CACM-2141 79 -27.838167843138642 SMOOTHQSystem
50 Q0 CACM-1302 80 -27.858945437457564 SMOOTHQSystem
50 Q0 CACM-0392 81 -27.858945437457564 SMOOTHQSystem
50 Q0 CACM-2795 82 -27.87803862333719 SMOOTHQSystem
50 Q0 CACM-1825 83 -27.909453448366484 SMOOTHQSystem
50 Q0 CACM-1456 84 -27.914290900509947 SMOOTHQSystem
50 Q0 CACM-2685 85 -27.92308707838479 SMOOTHQSystem
50 Q0 CACM-1527 86 -27.953797245757478 SMOOTHQSystem
50 Q0 CACM-1158 87 -27.997814620760856 SMOOTHQSystem
50 Q0 CACM-2543 88 -28.02064027489735 SMOOTHQSystem
50 Q0 CACM-0670 89 -28.02874835989092 SMOOTHQSystem
50 Q0 CACM-1988 90 -28.03509352214926 SMOOTHQSystem
50 Q0 CACM-1262 91 -28.05036527437155 SMOOTHQSystem
50 Q0 CACM-2973 92 -28.07062548555168 SMOOTHQSystem
50 Q0 CACM-1194 93 -28.081964656597986 SMOOTHQSystem
50 Q0 CACM-2987 94 -28.095565535213552 SMOOTHQSystem
50 Q0 CACM-1711 95 -28.116914928930242 SMOOTHQSystem
50 Q0 CACM-1665 96 -28.124961991274894 SMOOTHQSystem
50 Q0 CACM-1976 97 -28.12779769986065 SMOOTHQSystem
50 Q0 CACM-2896 98 -28.132164947986 SMOOTHQSystem
50 Q0 CACM-2722 99 -28.13458445998118 SMOOTHQSystem
50 Q0 CACM-2182 100 -28.156968163862636 SMOOTHQSystem
