parallel processors and paging algorithms
51 Q0 CACM-1810 61 0.11532421470748778 TFIDFSystem
51 Q0 CACM-2069 62 0.1149680793159841 TFIDFSystem
51 Q0 CACM-1825 63 0.11494275926913221 TFIDFSystem
51 Q0 CACM-2272 64 0.11483252193903186 TFIDFSystem
51 Q0 CACM-1753 65 0.11392292643149969 TFIDFSystem
51 Q0 CACM-2830 66 0.11295263093661768 TFIDFSystem
51 Q0 CACM-2146 67 0.11064461884093363 TFIDFSystem
51 Q0 CACM-2903 68 0.1094340327572245 TFIDFSystem
51 Q0 CACM-2497 69 0.1089206204217278 TFIDFSystem
51 Q0 CACM-1953 70 0.10843452569915299 TFIDFSystem
51 Q0 CACM-1851 71 0.10843452569915299 TFIDFSystem
51 Q0 CACM-1569 72 0.10797539547668936 TFIDFSystem
51 Q0 CACM-2273 73 0.10785944235783998 TFIDFSystem
51 Q0 CACM-1828 74 0.10769312453253724 TFIDFSystem
51 Q0 CACM-2902 75 0.10749526735788459 TFIDFSystem
51 Q0 CACM-1873 76 0.10630835852858135 TFIDFSystem
51 Q0 CACM-2881 77 0.10512152274427711 TFIDFSystem
51 Q0 CACM-1601 78 0.10412561089222008 TFIDFSystem
51 Q0 CACM-1468 79 0.10408249541102828 TFIDFSystem
51 Q0 CACM-2236 80 0.10372524794561151 TFIDFSystem
51 Q0 CACM-0303 81 0.10358258322677268 TFIDFSystem
51 Q0 CACM-0409 82 0.1033452213128577 TFIDFSystem
51 Q0 CACM-2297 83 0.10188590797836278 TFIDFSystem
51 Q0 CACM-2895 84 0.10149841679153138 TFIDFSystem
51 Q0 CACM-2490 85 0.1009989264048417 TFIDFSystem
51 Q0 CACM-2426 86 0.10088048618093065 TFIDFSystem
51 Q0 CACM-2433 87 0.1003225458585249 TFIDFSystem
51 Q0 CACM-1392 88 0.10008075434661586 TFIDFSystem
51 Q0 CACM-2819 89 0.09924177658728053 TFIDFSystem
51 Q0 CACM-2627 90 0.0979981865757612 TFIDFSystem
51 Q0 CACM-1988 91 0.09772642456550848 TFIDFSystem
51 Q0 CACM-1665 92 0.09762822048691197 TFIDFSystem
51 Q0 CACM-2342 93 0.09757731617980095 TFIDFSystem
51 Q0 CACM-2667 94 0.09676534491435827 TFIDFSystem
51 Q0 CACM-1529 95 0.09661793042680683 TFIDFSystem
51 Q0 CACM-3059 96 0.09651789648025808 TFIDFSystem
51 Q0 CACM-1728 97 0.09514685261110636 TFIDFSystem
51 Q0 CACM-2401 98 0.09372880753069934 TFIDFSystem
51 Q0 CACM-3061 99 0.09347803939582154 TFIDFSystem
51 Q0 CACM-2997 100 0.0932956184587097 TFIDFSystem
