code optimization for space efficiency
13 Q0 CACM-2736 54 0.11870986005571332 TFIDFSystem
13 Q0 CACM-0333 55 0.11819877272575438 TFIDFSystem
13 Q0 CACM-1195 56 0.11735278803049477 TFIDFSystem
13 Q0 CACM-2253 57 0.11628458586892515 TFIDFSystem
13 Q0 CACM-2537 58 0.11610915473622636 TFIDFSystem
13 Q0 CACM-2645 59 0.11126886163370908 TFIDFSystem
13 Q0 CACM-0093 60 0.11012371914426716 TFIDFSystem
13 Q0 CACM-1099 61 0.10813384549075361 TFIDFSystem
13 Q0 CACM-2929 62 0.10813089093012601 TFIDFSystem
13 Q0 CACM-1708 63 0.10749740888695321 TFIDFSystem
13 Q0 CACM-2616 64 0.10742951913325788 TFIDFSystem
13 Q0 CACM-2892 65 0.10629539681751402 TFIDFSystem
13 Q0 CACM-1564 66 0.10283080120808058 TFIDFSystem
13 Q0 CACM-2389 67 0.10215021717365602 TFIDFSystem
13 Q0 CACM-1886 68 0.10090209939873265 TFIDFSystem
13 Q0 CACM-2552 69 0.10081660026608462 TFIDFSystem
13 Q0 CACM-3066 70 0.10008071267290151 TFIDFSystem
13 Q0 CACM-1523 71 0.09761663679146909 TFIDFSystem
13 Q0 CACM-2836 72 0.09541418310145891 TFIDFSystem
13 Q0 CACM-1651 73 0.09155356327288057 TFIDFSystem
13 Q0 CACM-2290 74 0.08994099276272753 TFIDFSystem
13 Q0 CACM-1066 75 0.08951232786058079 TFIDFSystem
13 Q0 CACM-2230 76 0.0890380638340693 TFIDFSystem
13 Q0 CACM-1030 77 0.0875772486557102 TFIDFSystem
13 Q0 CACM-1465 78 0.08724883104926191 TFIDFSystem
13 Q0 CACM-1331 79 0.08691751974666267 TFIDFSystem
13 Q0 CACM-1973 80 0.08677884579865511 TFIDFSystem
13 Q0 CACM-2126 81 0.08615872357702282 TFIDFSystem
13 Q0 CACM-1345 82 0.08369402654964306 TFIDFSystem
13 Q0 CACM-1786 83 0.08365346963218714 TFIDFSystem
13 Q0 CACM-2944 84 0.08349400397737665 TFIDFSystem
13 Q0 CACM-2033 85 0.08316570215961303 TFIDFSystem
13 Q0 CACM-2931 86 0.08281468328580292 TFIDFSystem
13 Q0 CACM-1676 87 0.08239549989884751 TFIDFSystem
13 Q0 CACM-3134 88 0.08230004819257217 TFIDFSystem
13 Q0 CACM-2411 89 0.08228644018717625 TFIDFSystem
13 Q0 CACM-2816 90 0.08172017373892482 TFIDFSystem
13 Q0 CACM-0124 91 0.08101046304782669 TFIDFSystem
13 Q0 CACM-0794 92 0.07929952560221798 TFIDFSystem
13 Q0 CACM-3005 93 0.07929772109419363 TFIDFSystem
13 Q0 CACM-2374 94 0.07890978787624864 TFIDFSystem
13 Q0 CACM-2858 95 0.07880133413423863 TFIDFSystem
13 Q0 CACM-2423 96 0.07844144451129223 TFIDFSystem
13 Q0 CACM-2716 97 0.0779714478998379 TFIDFSystem
13 Q0 CACM-1429 98 0.07714998939155776 TFIDFSystem
13 Q0 CACM-1352 99 0.07714998939155776 TFIDFSystem
13 Q0 CACM-2498 100 0.0764288977010031 TFIDFSystem
