distribut comput structur and algorithm
4 Q0 CACM-1779 59 -25.321507634908972 SMOOTHQSystem
4 Q0 CACM-3154 60 -25.33464543779781 SMOOTHQSystem
4 Q0 CACM-2349 61 -25.34532700269305 SMOOTHQSystem
4 Q0 CACM-2457 62 -25.374296418648747 SMOOTHQSystem
4 Q0 CACM-2433 63 -25.388506463112524 SMOOTHQSystem
4 Q0 CACM-2675 64 -25.401058463236495 SMOOTHQSystem
4 Q0 CACM-2261 65 -25.419284243878103 SMOOTHQSystem
4 Q0 CACM-2187 66 -25.425038075029807 SMOOTHQSystem
4 Q0 CACM-2812 67 -25.44309657723273 SMOOTHQSystem
4 Q0 CACM-1920 68 -25.450661115468932 SMOOTHQSystem
4 Q0 CACM-2862 69 -25.462207729181582 SMOOTHQSystem
4 Q0 CACM-2988 70 -25.492375793149606 SMOOTHQSystem
4 Q0 CACM-2589 71 -25.50764246253314 SMOOTHQSystem
4 Q0 CACM-2816 72 -25.528792779306624 SMOOTHQSystem
4 Q0 CACM-2890 73 -25.53031076548561 SMOOTHQSystem
4 Q0 CACM-2798 74 -25.550402192929337 SMOOTHQSystem
4 Q0 CACM-2893 75 -25.559501000938234 SMOOTHQSystem
4 Q0 CACM-2060 76 -25.598251776970866 SMOOTHQSystem
4 Q0 CACM-2371 77 -25.607206609194243 SMOOTHQSystem
4 Q0 CACM-3137 78 -25.62538815118024 SMOOTHQSystem
4 Q0 CACM-2649 79 -25.651947681072286 SMOOTHQSystem
4 Q0 CACM-1972 80 -25.675779648008234 SMOOTHQSystem
4 Q0 CACM-2548 81 -25.683506263798563 SMOOTHQSystem
4 Q0 CACM-2334 82 -25.683506263798563 SMOOTHQSystem
4 Q0 CACM-2313 83 -25.68533159977819 SMOOTHQSystem
4 Q0 CACM-2941 84 -25.69929303309685 SMOOTHQSystem
4 Q0 CACM-3084 85 -25.69935719147664 SMOOTHQSystem
4 Q0 CACM-2249 86 -25.705836981518793 SMOOTHQSystem
4 Q0 CACM-3098 87 -25.731944425306015 SMOOTHQSystem
4 Q0 CACM-1471 88 -25.732547050251977 SMOOTHQSystem
4 Q0 CACM-2333 89 -25.737148586789687 SMOOTHQSystem
4 Q0 CACM-1003 90 -25.786278791611284 SMOOTHQSystem
4 Q0 CACM-2478 91 -25.803466355769665 SMOOTHQSystem
4 Q0 CACM-2426 92 -25.810511518266424 SMOOTHQSystem
4 Q0 CACM-3151 93 -25.816479157954976 SMOOTHQSystem
4 Q0 CACM-1780 94 -25.8396670421387 SMOOTHQSystem
4 Q0 CACM-2766 95 -25.893093197213695 SMOOTHQSystem
4 Q0 CACM-2547 96 -25.895884345164887 SMOOTHQSystem
4 Q0 CACM-2686 97 -25.89762524845299 SMOOTHQSystem
4 Q0 CACM-2025 98 -25.936391538813552 SMOOTHQSystem
4 Q0 CACM-2078 99 -25.95525812657347 SMOOTHQSystem
4 Q0 CACM-3106 100 -25.96645958693088 SMOOTHQSystem
