distribut comput structur and algorithm
4 Q0 CACM-2481 38 5.4649689817635645 BM25System
4 Q0 CACM-1604 39 5.431152981053461 BM25System
4 Q0 CACM-1663 40 5.303339742733628 BM25System
4 Q0 CACM-2686 41 5.302634781556847 BM25System
4 Q0 CACM-2816 42 5.29091489843476 BM25System
4 Q0 CACM-0711 43 5.229298394493494 BM25System
4 Q0 CACM-1081 44 5.189144446442977 BM25System
4 Q0 CACM-2578 45 5.147223859485472 BM25System
4 Q0 CACM-3043 46 5.043536643615456 BM25System
4 Q0 CACM-1918 47 5.034511456520111 BM25System
4 Q0 CACM-1583 48 5.034511456520111 BM25System
4 Q0 CACM-1157 49 5.034511456520111 BM25System
4 Q0 CACM-2249 50 4.985405593689443 BM25System
4 Q0 CACM-1584 51 4.924452445835626 BM25System
4 Q0 CACM-1779 52 4.853714693434994 BM25System
4 Q0 CACM-1920 53 4.784980400128455 BM25System
4 Q0 CACM-2798 54 4.754025281496873 BM25System
4 Q0 CACM-1153 55 4.734749142383802 BM25System
4 Q0 CACM-3072 56 4.700923811628228 BM25System
4 Q0 CACM-2667 57 4.697515482355978 BM25System
4 Q0 CACM-1003 58 4.686956346175003 BM25System
4 Q0 CACM-2313 59 4.669414990590318 BM25System
4 Q0 CACM-2548 60 4.653191111763433 BM25System
4 Q0 CACM-2334 61 4.653191111763433 BM25System
4 Q0 CACM-0862 62 4.628170970643882 BM25System
4 Q0 CACM-2333 63 4.621370338362373 BM25System
4 Q0 CACM-3119 64 4.592255052829815 BM25System
4 Q0 CACM-2402 65 4.578305795834754 BM25System
4 Q0 CACM-2004 66 4.575662241377093 BM25System
4 Q0 CACM-2936 67 4.56008173091553 BM25System
4 Q0 CACM-1780 68 4.559016810482872 BM25System
4 Q0 CACM-2371 69 4.549560851641931 BM25System
4 Q0 CACM-2969 70 4.530681363977333 BM25System
4 Q0 CACM-2025 71 4.498323483994421 BM25System
4 Q0 CACM-2566 72 4.468578812709644 BM25System
4 Q0 CACM-2187 73 4.440174916163948 BM25System
4 Q0 CACM-2478 74 4.43798318407304 BM25System
4 Q0 CACM-2828 75 4.433926152929498 BM25System
4 Q0 CACM-1431 76 4.432964139718872 BM25System
4 Q0 CACM-0954 77 4.395484706482432 BM25System
4 Q0 CACM-1410 78 4.375644905157609 BM25System
4 Q0 CACM-2176 79 4.358957577122073 BM25System
4 Q0 CACM-3131 80 4.3208572941174195 BM25System
4 Q0 CACM-1514 81 4.313675083220445 BM25System
4 Q0 CACM-0052 82 4.302773328607574 BM25System
4 Q0 CACM-0088 83 4.243108399338247 BM25System
4 Q0 CACM-2767 84 4.236259596296465 BM25System
4 Q0 CACM-2718 85 4.233746358433157 BM25System
4 Q0 CACM-3010 86 4.227175989076149 BM25System
4 Q0 CACM-1305 87 4.226480381453873 BM25System
4 Q0 CACM-2457 88 4.1994018478476685 BM25System
4 Q0 CACM-2802 89 4.1861452754650825 BM25System
4 Q0 CACM-2547 90 4.181856338375496 BM25System
4 Q0 CACM-3165 91 4.1658075456328145 BM25System
4 Q0 CACM-2081 92 4.16180840614687 BM25System
4 Q0 CACM-2078 93 4.1486600967347185 BM25System
4 Q0 CACM-1997 94 4.123785369642755 BM25System
4 Q0 CACM-2954 95 4.079007042342409 BM25System
4 Q0 CACM-2060 96 4.063058254274763 BM25System
4 Q0 CACM-2594 97 4.050401305846353 BM25System
4 Q0 CACM-1569 98 4.030307089278721 BM25System
4 Q0 CACM-2975 99 4.023190962739661 BM25System
4 Q0 CACM-0758 100 4.01401914803982 BM25System
