memory management aspects of operating systems
27 Q0 CACM-2681 50 7.193559545664504 BM25System
27 Q0 CACM-1924 51 7.135672009048692 BM25System
27 Q0 CACM-2111 52 7.120107045337875 BM25System
27 Q0 CACM-2365 53 7.10917167989434 BM25System
27 Q0 CACM-2311 54 7.051501964318844 BM25System
27 Q0 CACM-2625 55 6.938245547013686 BM25System
27 Q0 CACM-0059 56 6.936169094190909 BM25System
27 Q0 CACM-1708 57 6.928512723135093 BM25System
27 Q0 CACM-1751 58 6.92778796118177 BM25System
27 Q0 CACM-2668 59 6.864628114825763 BM25System
27 Q0 CACM-2967 60 6.8376571015928125 BM25System
27 Q0 CACM-2407 61 6.831024667814309 BM25System
27 Q0 CACM-1541 62 6.81115104920234 BM25System
27 Q0 CACM-2818 63 6.7997501168212 BM25System
27 Q0 CACM-1725 64 6.770098001438299 BM25System
27 Q0 CACM-0084 65 6.745558403206792 BM25System
27 Q0 CACM-1247 66 6.65247680206649 BM25System
27 Q0 CACM-2314 67 6.621209742056827 BM25System
27 Q0 CACM-2198 68 6.619103007424136 BM25System
27 Q0 CACM-2317 69 6.57406027195991 BM25System
27 Q0 CACM-2482 70 6.512417313558475 BM25System
27 Q0 CACM-1912 71 6.455109997507453 BM25System
27 Q0 CACM-2106 72 6.3968045187348554 BM25System
27 Q0 CACM-2597 73 6.394558141437795 BM25System
27 Q0 CACM-2840 74 6.369340889642235 BM25System
27 Q0 CACM-0086 75 6.3527575838218855 BM25System
27 Q0 CACM-2985 76 6.335929009160079 BM25System
27 Q0 CACM-1680 77 6.321346019879181 BM25System
27 Q0 CACM-3142 78 6.315396298556889 BM25System
27 Q0 CACM-1845 79 6.261971309717847 BM25System
27 Q0 CACM-2163 80 6.255681921156758 BM25System
27 Q0 CACM-1781 81 6.207313226494045 BM25System
27 Q0 CACM-2080 82 6.186780223995408 BM25System
27 Q0 CACM-3025 83 6.171405760034544 BM25System
27 Q0 CACM-2095 84 6.166389881414266 BM25System
27 Q0 CACM-0855 85 6.132205868505991 BM25System
27 Q0 CACM-2435 86 6.131909203599987 BM25System
27 Q0 CACM-3177 87 6.109284471394659 BM25System
27 Q0 CACM-2424 88 6.104505452391892 BM25System
27 Q0 CACM-2629 89 6.094685901443357 BM25System
27 Q0 CACM-3127 90 6.038292649620701 BM25System
27 Q0 CACM-3153 91 6.021364290522712 BM25System
27 Q0 CACM-1810 92 5.970009766490079 BM25System
27 Q0 CACM-1698 93 5.964627939462682 BM25System
27 Q0 CACM-1572 94 5.95415099002634 BM25System
27 Q0 CACM-2320 95 5.948815738589568 BM25System
27 Q0 CACM-2863 96 5.896194559539455 BM25System
27 Q0 CACM-1456 97 5.888032403067983 BM25System
27 Q0 CACM-2621 98 5.874215764276779 BM25System
27 Q0 CACM-0856 99 5.846007500704667 BM25System
27 Q0 CACM-0417 100 5.84596151166388 BM25System
