modelling and simulation in agricultural ecosystems
52 Q0 CACM-0605 69 2.942012356267661 BM25System
52 Q0 CACM-1484 70 2.9131062936871674 BM25System
52 Q0 CACM-1253 71 2.9131062936871674 BM25System
52 Q0 CACM-1165 72 2.9131062936871674 BM25System
52 Q0 CACM-1426 73 2.8847627241381923 BM25System
52 Q0 CACM-2734 74 2.8509798655648613 BM25System
52 Q0 CACM-2955 75 2.8432666451531166 BM25System
52 Q0 CACM-1811 76 2.823826710066136 BM25System
52 Q0 CACM-1856 77 2.821874810773713 BM25System
52 Q0 CACM-1199 78 2.802947444008987 BM25System
52 Q0 CACM-1518 79 2.6524918374487405 BM25System
52 Q0 CACM-2105 80 2.605866253065201 BM25System
52 Q0 CACM-1933 81 2.5944648569881466 BM25System
52 Q0 CACM-2091 82 2.5280980273830367 BM25System
52 Q0 CACM-2276 83 2.517365591058992 BM25System
52 Q0 CACM-2652 84 2.4753318702295557 BM25System
52 Q0 CACM-1674 85 2.454837045122916 BM25System
52 Q0 CACM-1234 86 2.4447163750132166 BM25System
52 Q0 CACM-1166 87 2.4148489470230823 BM25System
52 Q0 CACM-3042 88 2.4050546552106082 BM25System
52 Q0 CACM-2596 89 2.34791768766728 BM25System
52 Q0 CACM-2918 90 2.3386577586423134 BM25System
52 Q0 CACM-2452 91 2.3294705829685918 BM25System
52 Q0 CACM-2862 92 2.311311088762472 BM25System
52 Q0 CACM-1845 93 2.3023371018045693 BM25System
52 Q0 CACM-2967 94 2.26712735200036 BM25System
52 Q0 CACM-2859 95 2.2414187599519226 BM25System
52 Q0 CACM-2628 96 2.167676227862523 BM25System
52 Q0 CACM-2890 97 2.1441619645896766 BM25System
52 Q0 CACM-1711 98 2.1441619645896766 BM25System
52 Q0 CACM-2682 99 2.069336931849856 BM25System
52 Q0 CACM-2535 100 2.069336931849856 BM25System
