optimization of intermediate and machine code
17 Q0 CACM-3150 87 4.286716622486676 BM25System
17 Q0 CACM-2746 88 4.283751634065783 BM25System
17 Q0 CACM-0210 89 4.222227340153586 BM25System
17 Q0 CACM-1167 90 4.20796398088459 BM25System
17 Q0 CACM-0093 91 4.20784948040721 BM25System
17 Q0 CACM-2106 92 4.203230918778173 BM25System
17 Q0 CACM-2680 93 4.1933462482106405 BM25System
17 Q0 CACM-2537 94 4.167619018054509 BM25System
17 Q0 CACM-1387 95 4.160247365119849 BM25System
17 Q0 CACM-1331 96 4.137161006410087 BM25System
17 Q0 CACM-1062 97 4.052912350688224 BM25System
17 Q0 CACM-2379 98 4.026543062581669 BM25System
17 Q0 CACM-3175 99 3.9992487684687457 BM25System
17 Q0 CACM-1651 100 3.977717131531183 BM25System
