parallel processors and paging algorithms
51 Q0 CACM-2080 83 4.511106157110188 BM25System
51 Q0 CACM-2195 84 4.486818720747761 BM25System
51 Q0 CACM-2851 85 4.474772810489166 BM25System
51 Q0 CACM-2325 86 4.471633119443318 BM25System
51 Q0 CACM-2095 87 4.457753336656828 BM25System
51 Q0 CACM-1846 88 4.437773160059461 BM25System
51 Q0 CACM-0371 89 4.427883405955765 BM25System
51 Q0 CACM-1569 90 4.406397801559668 BM25System
51 Q0 CACM-3166 91 4.367554241772526 BM25System
51 Q0 CACM-2226 92 4.367117034662072 BM25System
51 Q0 CACM-2950 93 4.327095080600202 BM25System
51 Q0 CACM-2668 94 4.281066037114253 BM25System
51 Q0 CACM-2902 95 4.216427385843196 BM25System
51 Q0 CACM-1551 96 4.215612513863272 BM25System
51 Q0 CACM-1389 97 4.181418651459968 BM25System
51 Q0 CACM-2137 98 4.179131358920152 BM25System
51 Q0 CACM-1658 99 4.1720875052845 BM25System
51 Q0 CACM-1796 100 4.152352357359117 BM25System
