code optimization for space efficiency
13 Q0 CACM-0093 79 -34.13462603814295 SMOOTHQSystem
13 Q0 CACM-0794 80 -34.16963357225312 SMOOTHQSystem
13 Q0 CACM-2836 81 -34.23330350305895 SMOOTHQSystem
13 Q0 CACM-2262 82 -34.26009693322471 SMOOTHQSystem
13 Q0 CACM-1071 83 -34.26009693322471 SMOOTHQSystem
13 Q0 CACM-1465 84 -34.26832622404943 SMOOTHQSystem
13 Q0 CACM-2134 85 -34.27618206734175 SMOOTHQSystem
13 Q0 CACM-1270 86 -34.27753378411243 SMOOTHQSystem
13 Q0 CACM-0164 87 -34.28771253746472 SMOOTHQSystem
13 Q0 CACM-1670 88 -34.322241287291085 SMOOTHQSystem
13 Q0 CACM-1331 89 -34.38664391592801 SMOOTHQSystem
13 Q0 CACM-3053 90 -34.40781010791641 SMOOTHQSystem
13 Q0 CACM-1226 91 -34.41559524092334 SMOOTHQSystem
13 Q0 CACM-0124 92 -34.421886051889544 SMOOTHQSystem
13 Q0 CACM-1231 93 -34.42198325918824 SMOOTHQSystem
13 Q0 CACM-0117 94 -34.42685732092069 SMOOTHQSystem
13 Q0 CACM-2499 95 -34.45526445848747 SMOOTHQSystem
13 Q0 CACM-2498 96 -34.48081221926216 SMOOTHQSystem
13 Q0 CACM-3040 97 -34.49396869196968 SMOOTHQSystem
13 Q0 CACM-1066 98 -34.49669527785768 SMOOTHQSystem
13 Q0 CACM-0693 99 -34.5043599890851 SMOOTHQSystem
13 Q0 CACM-2389 100 -34.50502342705001 SMOOTHQSystem
