setl very high level languages
11 Q0 CACM-3185 31 -40.411067262293976 SMOOTHQSystem
11 Q0 CACM-1552 32 -40.50055197093332 SMOOTHQSystem
11 Q0 CACM-2898 33 -40.57337130146438 SMOOTHQSystem
11 Q0 CACM-2593 34 -40.61575302369494 SMOOTHQSystem
11 Q0 CACM-2826 35 -40.65720372681299 SMOOTHQSystem
11 Q0 CACM-1861 36 -40.6598053979236 SMOOTHQSystem
11 Q0 CACM-1676 37 -40.7634761108206 SMOOTHQSystem
11 Q0 CACM-0048 38 -40.91192810048632 SMOOTHQSystem
11 Q0 CACM-1145 39 -40.978180264264324 SMOOTHQSystem
11 Q0 CACM-2873 40 -41.03043188318952 SMOOTHQSystem
11 Q0 CACM-2034 41 -41.16289161336207 SMOOTHQSystem
11 Q0 CACM-2542 42 -41.178722551971 SMOOTHQSystem
11 Q0 CACM-0321 43 -41.39170491276089 SMOOTHQSystem
11 Q0 CACM-3041 44 -41.42868916710029 SMOOTHQSystem
11 Q0 CACM-0731 45 -41.44878123410059 SMOOTHQSystem
11 Q0 CACM-2651 46 -41.66856317939816 SMOOTHQSystem
11 Q0 CACM-1223 47 -41.673646584774005 SMOOTHQSystem
11 Q0 CACM-1710 48 -41.72629096182767 SMOOTHQSystem
11 Q0 CACM-2398 49 -41.77117054969678 SMOOTHQSystem
11 Q0 CACM-2842 50 -41.782215637082835 SMOOTHQSystem
11 Q0 CACM-1769 51 -41.791858827017215 SMOOTHQSystem
11 Q0 CACM-3101 52 -41.89929528423409 SMOOTHQSystem
11 Q0 CACM-1788 53 -42.23594573067468 SMOOTHQSystem
11 Q0 CACM-1425 54 -42.49857263471564 SMOOTHQSystem
11 Q0 CACM-0795 55 -42.58767484732876 SMOOTHQSystem
11 Q0 CACM-1472 56 -42.62042512593724 SMOOTHQSystem
11 Q0 CACM-1641 57 -42.6654583802526 SMOOTHQSystem
11 Q0 CACM-3123 58 -42.827259282579995 SMOOTHQSystem
11 Q0 CACM-0249 59 -42.85349551183754 SMOOTHQSystem
11 Q0 CACM-1642 60 -42.94935649707975 SMOOTHQSystem
11 Q0 CACM-2603 61 -43.03669850022125 SMOOTHQSystem
11 Q0 CACM-3057 62 -43.07187739742386 SMOOTHQSystem
11 Q0 CACM-1073 63 -43.0853641868666 SMOOTHQSystem
11 Q0 CACM-1466 64 -43.11690288356791 SMOOTHQSystem
11 Q0 CACM-1046 65 -43.15528521296508 SMOOTHQSystem
11 Q0 CACM-1459 66 -43.22117201372592 SMOOTHQSystem
11 Q0 CACM-1138 67 -43.240756506784045 SMOOTHQSystem
11 Q0 CACM-1102 68 -43.240756506784045 SMOOTHQSystem
11 Q0 CACM-1142 69 -43.29726080325989 SMOOTHQSystem
11 Q0 CACM-1115 70 -43.32048422311141 SMOOTHQSystem
11 Q0 CACM-2867 71 -43.32965836094332 SMOOTHQSystem
11 Q0 CACM-2493 72 -43.347934801947055 SMOOTHQSystem
11 Q0 CACM-2814 73 -43.35067433475591 SMOOTHQSystem
11 Q0 CACM-0463 74 -43.35067433475591 SMOOTHQSystem
11 Q0 CACM-2708 75 -43.37392197597734 SMOOTHQSystem
11 Q0 CACM-0367 76 -43.42390576700808 SMOOTHQSystem
11 Q0 CACM-2002 77 -43.44501092348143 SMOOTHQSystem
11 Q0 CACM-0651 78 -43.449451694300386 SMOOTHQSystem
11 Q0 CACM-0111 79 -43.47144836227389 SMOOTHQSystem
11 Q0 CACM-2295 80 -43.47265593332953 SMOOTHQSystem
11 Q0 CACM-0920 81 -43.49531929958299 SMOOTHQSystem
11 Q0 CACM-0762 82 -43.49531929958299 SMOOTHQSystem
11 Q0 CACM-1183 83 -43.525347412638325 SMOOTHQSystem
11 Q0 CACM-0628 84 -43.53911907716331 SMOOTHQSystem
11 Q0 CACM-2922 85 -43.54764679390294 SMOOTHQSystem
11 Q0 CACM-1720 86 -43.54764679390294 SMOOTHQSystem
11 Q0 CACM-2621 87 -43.56007888924685 SMOOTHQSystem
11 Q0 CACM-1098 88 -43.57071868178211 SMOOTHQSystem
11 Q0 CACM-1462 89 -43.58102713139907 SMOOTHQSystem
11 Q0 CACM-1703 90 -43.58783902214167 SMOOTHQSystem
11 Q0 CACM-0755 91 -43.62161210219639 SMOOTHQSystem
11 Q0 CACM-0479 92 -43.64452403846291 SMOOTHQSystem
11 Q0 CACM-2985 93 -43.67946643167996 SMOOTHQSystem
11 Q0 CACM-2076 94 -43.6814143683157 SMOOTHQSystem
11 Q0 CACM-1366 95 -43.68873799211758 SMOOTHQSystem
11 Q0 CACM-1544 96 -43.68878090838828 SMOOTHQSystem
11 Q0 CACM-2782 97 -43.69685802982444 SMOOTHQSystem
11 Q0 CACM-3119 98 -43.70410813003666 SMOOTHQSystem
11 Q0 CACM-2784 99 -43.70727089984129 SMOOTHQSystem
11 Q0 CACM-2365 100 -43.70727089984129 SMOOTHQSystem
