modelling and simulation in agricultural ecosystems
52 Q0 CACM-2272 52 -25.483368111631343 SMOOTHQSystem
52 Q0 CACM-0678 53 -25.560891088156005 SMOOTHQSystem
52 Q0 CACM-1030 54 -25.59576807030098 SMOOTHQSystem
52 Q0 CACM-1165 55 -25.601732455305225 SMOOTHQSystem
52 Q0 CACM-2951 56 -25.621111956836153 SMOOTHQSystem
52 Q0 CACM-2309 57 -25.62557073165612 SMOOTHQSystem
52 Q0 CACM-2298 58 -25.62557073165612 SMOOTHQSystem
52 Q0 CACM-1484 59 -25.64809466737847 SMOOTHQSystem
52 Q0 CACM-1591 60 -25.648970524558965 SMOOTHQSystem
52 Q0 CACM-1380 61 -25.65954471573907 SMOOTHQSystem
52 Q0 CACM-2535 62 -25.671068051486234 SMOOTHQSystem
52 Q0 CACM-2542 63 -25.696380380406772 SMOOTHQSystem
52 Q0 CACM-1261 64 -25.69970268287952 SMOOTHQSystem
52 Q0 CACM-0557 65 -25.703146690158896 SMOOTHQSystem
52 Q0 CACM-1541 66 -25.70948698594931 SMOOTHQSystem
52 Q0 CACM-1856 67 -25.74240743045069 SMOOTHQSystem
52 Q0 CACM-1518 68 -25.77052440690054 SMOOTHQSystem
52 Q0 CACM-0675 69 -25.848350640891173 SMOOTHQSystem
52 Q0 CACM-0757 70 -25.88397611539871 SMOOTHQSystem
52 Q0 CACM-1435 71 -25.90122264658966 SMOOTHQSystem
52 Q0 CACM-1207 72 -25.937546453842593 SMOOTHQSystem
52 Q0 CACM-2914 73 -25.97383027081574 SMOOTHQSystem
52 Q0 CACM-1208 74 -25.988343112173688 SMOOTHQSystem
52 Q0 CACM-1845 75 -26.101919671922943 SMOOTHQSystem
52 Q0 CACM-1933 76 -26.124179636633038 SMOOTHQSystem
52 Q0 CACM-2725 77 -26.126616624551005 SMOOTHQSystem
52 Q0 CACM-2452 78 -26.132556771595063 SMOOTHQSystem
52 Q0 CACM-2077 79 -26.140459964872186 SMOOTHQSystem
52 Q0 CACM-2233 80 -26.151981610177153 SMOOTHQSystem
52 Q0 CACM-2375 81 -26.19552435853707 SMOOTHQSystem
52 Q0 CACM-1811 82 -26.21902358845435 SMOOTHQSystem
52 Q0 CACM-1426 83 -26.222870209588297 SMOOTHQSystem
52 Q0 CACM-1846 84 -26.226023294651156 SMOOTHQSystem
52 Q0 CACM-1812 85 -26.24773272877716 SMOOTHQSystem
52 Q0 CACM-2188 86 -26.25956397267626 SMOOTHQSystem
52 Q0 CACM-2091 87 -26.264261780890152 SMOOTHQSystem
52 Q0 CACM-2628 88 -26.30787359110991 SMOOTHQSystem
52 Q0 CACM-3042 89 -26.348970349074268 SMOOTHQSystem
52 Q0 CACM-3061 90 -26.355448008441975 SMOOTHQSystem
52 Q0 CACM-2844 91 -26.355448008441975 SMOOTHQSystem
52 Q0 CACM-2890 92 -26.412644392044182 SMOOTHQSystem
52 Q0 CACM-2862 93 -26.48230333548628 SMOOTHQSystem
52 Q0 CACM-1879 94 -26.485401063728624 SMOOTHQSystem
52 Q0 CACM-2652 95 -26.501209537023882 SMOOTHQSystem
52 Q0 CACM-1894 96 -26.540538805925664 SMOOTHQSystem
52 Q0 CACM-2105 97 -26.551375519498002 SMOOTHQSystem
52 Q0 CACM-1716 98 -26.5682169620827 SMOOTHQSystem
52 Q0 CACM-2549 99 -26.59512345811539 SMOOTHQSystem
52 Q0 CACM-2062 100 -26.621299469457483 SMOOTHQSystem
