distributed computing structures and algorithms
23 Q0 CACM-2092 30 -31.482134426722425 SMOOTHQSystem
23 Q0 CACM-2114 31 -31.577007545147666 SMOOTHQSystem
23 Q0 CACM-1153 32 -31.63133490739141 SMOOTHQSystem
23 Q0 CACM-3086 33 -31.698186452546967 SMOOTHQSystem
23 Q0 CACM-2756 34 -31.70578661640635 SMOOTHQSystem
23 Q0 CACM-2855 35 -31.760655124080138 SMOOTHQSystem
23 Q0 CACM-2883 36 -31.764452224338925 SMOOTHQSystem
23 Q0 CACM-2484 37 -31.79675667044605 SMOOTHQSystem
23 Q0 CACM-2314 38 -31.81639003054114 SMOOTHQSystem
23 Q0 CACM-1810 39 -31.843619864029282 SMOOTHQSystem
23 Q0 CACM-1862 40 -31.896614144656603 SMOOTHQSystem
23 Q0 CACM-3032 41 -31.8972510004319 SMOOTHQSystem
23 Q0 CACM-2838 42 -31.905594507965187 SMOOTHQSystem
23 Q0 CACM-2723 43 -31.945919036048608 SMOOTHQSystem
23 Q0 CACM-0657 44 -31.953409613566382 SMOOTHQSystem
23 Q0 CACM-1224 45 -31.97968746666247 SMOOTHQSystem
23 Q0 CACM-2578 46 -31.9895001323556 SMOOTHQSystem
23 Q0 CACM-2709 47 -32.02356664214059 SMOOTHQSystem
23 Q0 CACM-1946 48 -32.02851848560714 SMOOTHQSystem
23 Q0 CACM-2808 49 -32.07358605593657 SMOOTHQSystem
23 Q0 CACM-3128 50 -32.09683974699447 SMOOTHQSystem
23 Q0 CACM-1275 51 -32.109600850389896 SMOOTHQSystem
23 Q0 CACM-2828 52 -32.133542538449106 SMOOTHQSystem
23 Q0 CACM-2833 53 -32.15931215513053 SMOOTHQSystem
23 Q0 CACM-3164 54 -32.24756973424016 SMOOTHQSystem
23 Q0 CACM-2816 55 -32.254880602917545 SMOOTHQSystem
23 Q0 CACM-1423 56 -32.288617828151764 SMOOTHQSystem
23 Q0 CACM-2032 57 -32.33553838908589 SMOOTHQSystem
23 Q0 CACM-2969 58 -32.34978264695122 SMOOTHQSystem
23 Q0 CACM-2325 59 -32.37724272028809 SMOOTHQSystem
23 Q0 CACM-2524 60 -32.41438383912593 SMOOTHQSystem
23 Q0 CACM-2197 61 -32.428463368508446 SMOOTHQSystem
23 Q0 CACM-2963 62 -32.435645239678095 SMOOTHQSystem
23 Q0 CACM-1745 63 -32.46571438855557 SMOOTHQSystem
23 Q0 CACM-0052 64 -32.493237127637144 SMOOTHQSystem
23 Q0 CACM-2357 65 -32.494619742153 SMOOTHQSystem
23 Q0 CACM-2665 66 -32.50337109481313 SMOOTHQSystem
23 Q0 CACM-2417 67 -32.50439556201981 SMOOTHQSystem
23 Q0 CACM-2926 68 -32.51590175415577 SMOOTHQSystem
23 Q0 CACM-3011 69 -32.54174680863733 SMOOTHQSystem
23 Q0 CACM-3090 70 -32.5439447390923 SMOOTHQSystem
23 Q0 CACM-0088 71 -32.559692524385376 SMOOTHQSystem
23 Q0 CACM-2810 72 -32.60982143118722 SMOOTHQSystem
23 Q0 CACM-2615 73 -32.612687784204745 SMOOTHQSystem
23 Q0 CACM-1431 74 -32.65393766767286 SMOOTHQSystem
23 Q0 CACM-2958 75 -32.669893534577454 SMOOTHQSystem
23 Q0 CACM-2371 76 -32.676793450710385 SMOOTHQSystem
23 Q0 CACM-2594 77 -32.680233420025544 SMOOTHQSystem
23 Q0 CACM-1780 78 -32.68058159287958 SMOOTHQSystem
23 Q0 CACM-1525 79 -32.702098483097096 SMOOTHQSystem
23 Q0 CACM-1158 80 -32.715428717241124 SMOOTHQSystem
23 Q0 CACM-1889 81 -32.726230581475924 SMOOTHQSystem
23 Q0 CACM-3156 82 -32.739673772522 SMOOTHQSystem
23 Q0 CACM-2155 83 -32.76716153910128 SMOOTHQSystem
23 Q0 CACM-3165 84 -32.77869513429473 SMOOTHQSystem
23 Q0 CACM-1417 85 -32.782926357177146 SMOOTHQSystem
23 Q0 CACM-2954 86 -32.787144659978836 SMOOTHQSystem
23 Q0 CACM-3158 87 -32.86243236680988 SMOOTHQSystem
23 Q0 CACM-2272 88 -32.90065363490727 SMOOTHQSystem
23 Q0 CACM-2311 89 -32.90085034651911 SMOOTHQSystem
23 Q0 CACM-3035 90 -32.90928860471696 SMOOTHQSystem
23 Q0 CACM-1050 91 -32.91121931178476 SMOOTHQSystem
23 Q0 CACM-2505 92 -32.93192895273192 SMOOTHQSystem
23 Q0 CACM-3058 93 -32.95922135780446 SMOOTHQSystem
23 Q0 CACM-1010 94 -32.95951329989838 SMOOTHQSystem
23 Q0 CACM-3006 95 -32.97277287174005 SMOOTHQSystem
23 Q0 CACM-1658 96 -32.98725348352447 SMOOTHQSystem
23 Q0 CACM-0409 97 -33.007179573686926 SMOOTHQSystem
23 Q0 CACM-2236 98 -33.009052054920296 SMOOTHQSystem
23 Q0 CACM-3084 99 -33.01487851922038 SMOOTHQSystem
23 Q0 CACM-2452 100 -33.02266710186333 SMOOTHQSystem
