parallel processors in information retrieval
50 Q0 CACM-2307 49 -30.963049330048374 SMOOTHQSystem
50 Q0 CACM-2552 50 -30.970626721585493 SMOOTHQSystem
50 Q0 CACM-2781 51 -31.13485427270858 SMOOTHQSystem
50 Q0 CACM-1675 52 -31.17243817923993 SMOOTHQSystem
50 Q0 CACM-2412 53 -31.18656463338275 SMOOTHQSystem
50 Q0 CACM-2846 54 -31.343643696054652 SMOOTHQSystem
50 Q0 CACM-2711 55 -31.379795932732684 SMOOTHQSystem
50 Q0 CACM-1652 56 -31.421267801473256 SMOOTHQSystem
50 Q0 CACM-0440 57 -31.44555544703121 SMOOTHQSystem
50 Q0 CACM-1236 58 -31.465643318268615 SMOOTHQSystem
50 Q0 CACM-2947 59 -31.496111213209083 SMOOTHQSystem
50 Q0 CACM-2493 60 -31.49616030854162 SMOOTHQSystem
50 Q0 CACM-2795 61 -31.503413807112317 SMOOTHQSystem
50 Q0 CACM-2561 62 -31.53388752351997 SMOOTHQSystem
50 Q0 CACM-2160 63 -31.55705355688195 SMOOTHQSystem
50 Q0 CACM-2896 64 -31.64542973970331 SMOOTHQSystem
50 Q0 CACM-2032 65 -31.68836705184934 SMOOTHQSystem
50 Q0 CACM-1960 66 -31.706479368888402 SMOOTHQSystem
50 Q0 CACM-2451 67 -31.707371481875985 SMOOTHQSystem
50 Q0 CACM-2455 68 -31.70862837020561 SMOOTHQSystem
50 Q0 CACM-1262 69 -31.730522284708357 SMOOTHQSystem
50 Q0 CACM-1514 70 -31.7408800218578 SMOOTHQSystem
50 Q0 CACM-1527 71 -31.77254394133076 SMOOTHQSystem
50 Q0 CACM-2623 72 -31.772826428854387 SMOOTHQSystem
50 Q0 CACM-1711 73 -31.846146865633976 SMOOTHQSystem
50 Q0 CACM-0670 74 -31.877867239596718 SMOOTHQSystem
50 Q0 CACM-1976 75 -31.910918340934693 SMOOTHQSystem
50 Q0 CACM-3135 76 -31.92728186339048 SMOOTHQSystem
50 Q0 CACM-2484 77 -31.930732857929158 SMOOTHQSystem
50 Q0 CACM-2664 78 -31.969723835992596 SMOOTHQSystem
50 Q0 CACM-0303 79 -31.969723835992596 SMOOTHQSystem
50 Q0 CACM-2987 80 -31.987293890198366 SMOOTHQSystem
50 Q0 CACM-1725 81 -31.993074216109306 SMOOTHQSystem
50 Q0 CACM-2166 82 -32.005331589450094 SMOOTHQSystem
50 Q0 CACM-1665 83 -32.02544181804632 SMOOTHQSystem
50 Q0 CACM-1988 84 -32.05318789452203 SMOOTHQSystem
50 Q0 CACM-1409 85 -32.06475033023728 SMOOTHQSystem
50 Q0 CACM-2973 86 -32.074367190439496 SMOOTHQSystem
50 Q0 CACM-2575 87 -32.08118770379065 SMOOTHQSystem
50 Q0 CACM-1194 88 -32.11749469155841 SMOOTHQSystem
50 Q0 CACM-1684 89 -32.11758179551227 SMOOTHQSystem
50 Q0 CACM-2139 90 -32.11784830632686 SMOOTHQSystem
50 Q0 CACM-3096 91 -32.19586796853417 SMOOTHQSystem
50 Q0 CACM-1569 92 -32.1995632987678 SMOOTHQSystem
50 Q0 CACM-2650 93 -32.21075301746435 SMOOTHQSystem
50 Q0 CACM-1456 94 -32.21510771539407 SMOOTHQSystem
50 Q0 CACM-0655 95 -32.21680622576339 SMOOTHQSystem
50 Q0 CACM-0653 96 -32.23231018570629 SMOOTHQSystem
50 Q0 CACM-0626 97 -32.238237303482656 SMOOTHQSystem
50 Q0 CACM-2258 98 -32.24575503432709 SMOOTHQSystem
50 Q0 CACM-1601 99 -32.25520056131171 SMOOTHQSystem
50 Q0 CACM-2388 100 -32.285283336772416 SMOOTHQSystem
