distribut comput structur and algorithm
4 Q0 CACM-0862 43 0.15681103881317715 TFIDFSystem
4 Q0 CACM-2478 44 0.15542985801839754 TFIDFSystem
4 Q0 CACM-3082 45 0.15129078109176722 TFIDFSystem
4 Q0 CACM-1779 46 0.1489285643959379 TFIDFSystem
4 Q0 CACM-2849 47 0.1482089667005835 TFIDFSystem
4 Q0 CACM-0241 48 0.14648007554057302 TFIDFSystem
4 Q0 CACM-2709 49 0.14633453590572895 TFIDFSystem
4 Q0 CACM-0627 50 0.14517264514249978 TFIDFSystem
4 Q0 CACM-3137 51 0.14410179788250427 TFIDFSystem
4 Q0 CACM-2504 52 0.14254766079478892 TFIDFSystem
4 Q0 CACM-2685 53 0.14097390068995597 TFIDFSystem
4 Q0 CACM-1920 54 0.13899999343620872 TFIDFSystem
4 Q0 CACM-2261 55 0.1389602513760864 TFIDFSystem
4 Q0 CACM-2325 56 0.1380693265227471 TFIDFSystem
4 Q0 CACM-1050 57 0.13734114163515113 TFIDFSystem
4 Q0 CACM-2659 58 0.13663307778117625 TFIDFSystem
4 Q0 CACM-1831 59 0.13663307778117625 TFIDFSystem
4 Q0 CACM-0793 60 0.13663307778117625 TFIDFSystem
4 Q0 CACM-0115 61 0.13663307778117625 TFIDFSystem
4 Q0 CACM-3135 62 0.1364120829100996 TFIDFSystem
4 Q0 CACM-0758 63 0.13628755365103978 TFIDFSystem
4 Q0 CACM-3043 64 0.13598395655578366 TFIDFSystem
4 Q0 CACM-2954 65 0.13573873526173502 TFIDFSystem
4 Q0 CACM-2411 66 0.13400551859307672 TFIDFSystem
4 Q0 CACM-2004 67 0.13320995750793846 TFIDFSystem
4 Q0 CACM-2607 68 0.13222579754065805 TFIDFSystem
4 Q0 CACM-0657 69 0.13189313919525641 TFIDFSystem
4 Q0 CACM-2433 70 0.13079727255807197 TFIDFSystem
4 Q0 CACM-2481 71 0.12991837592415778 TFIDFSystem
4 Q0 CACM-1710 72 0.12905763514147284 TFIDFSystem
4 Q0 CACM-2329 73 0.1247781638145164 TFIDFSystem
4 Q0 CACM-3051 74 0.12456522148304405 TFIDFSystem
4 Q0 CACM-3084 75 0.12280208261142518 TFIDFSystem
4 Q0 CACM-2548 76 0.12264705303194887 TFIDFSystem
4 Q0 CACM-2334 77 0.12264705303194887 TFIDFSystem
4 Q0 CACM-2686 78 0.12245296232893942 TFIDFSystem
4 Q0 CACM-0057 79 0.12241009483475407 TFIDFSystem
4 Q0 CACM-1140 80 0.12225064854105244 TFIDFSystem
4 Q0 CACM-1860 81 0.12159198152553322 TFIDFSystem
4 Q0 CACM-1275 82 0.12134168805963591 TFIDFSystem
4 Q0 CACM-2756 83 0.12133369984395304 TFIDFSystem
4 Q0 CACM-1972 84 0.12093593361628172 TFIDFSystem
4 Q0 CACM-0855 85 0.12078458324844513 TFIDFSystem
4 Q0 CACM-2406 86 0.12021641146155831 TFIDFSystem
4 Q0 CACM-3119 87 0.11943018175049512 TFIDFSystem
4 Q0 CACM-2333 88 0.11914285151675032 TFIDFSystem
4 Q0 CACM-1771 89 0.11877982629483398 TFIDFSystem
4 Q0 CACM-2216 90 0.11866379425568223 TFIDFSystem
4 Q0 CACM-2675 91 0.11814706272356693 TFIDFSystem
4 Q0 CACM-0954 92 0.11760827910988286 TFIDFSystem
4 Q0 CACM-2114 93 0.11698495389633783 TFIDFSystem
4 Q0 CACM-0463 94 0.11613811611399982 TFIDFSystem
4 Q0 CACM-1107 95 0.11520950102094502 TFIDFSystem
4 Q0 CACM-2969 96 0.1142416164711697 TFIDFSystem
4 Q0 CACM-3130 97 0.11368090405033757 TFIDFSystem
4 Q0 CACM-2589 98 0.11342118021462426 TFIDFSystem
4 Q0 CACM-2576 99 0.1133054791356096 TFIDFSystem
4 Q0 CACM-2941 100 0.11317695542163494 TFIDFSystem
