code optim for space effici
2 Q0 CACM-2863 41 0.15460971045120497 TFIDFSystem
2 Q0 CACM-0622 42 0.15143650956345017 TFIDFSystem
2 Q0 CACM-2680 43 0.14957677106064285 TFIDFSystem
2 Q0 CACM-0267 44 0.14913722207614777 TFIDFSystem
2 Q0 CACM-3169 45 0.14774293615946357 TFIDFSystem
2 Q0 CACM-1992 46 0.14719840708874496 TFIDFSystem
2 Q0 CACM-1655 47 0.1469638624316682 TFIDFSystem
2 Q0 CACM-1095 48 0.1467869252342243 TFIDFSystem
2 Q0 CACM-0113 49 0.1467869252342243 TFIDFSystem
2 Q0 CACM-2745 50 0.14599477022792723 TFIDFSystem
2 Q0 CACM-2078 51 0.14519771718015767 TFIDFSystem
2 Q0 CACM-2711 52 0.14502791744496082 TFIDFSystem
2 Q0 CACM-2856 53 0.14402693392425633 TFIDFSystem
2 Q0 CACM-3080 54 0.14384643969336866 TFIDFSystem
2 Q0 CACM-0626 55 0.14302315792052622 TFIDFSystem
2 Q0 CACM-0243 56 0.14282847484505012 TFIDFSystem
2 Q0 CACM-1275 57 0.14162319701463089 TFIDFSystem
2 Q0 CACM-0461 58 0.14162319701463089 TFIDFSystem
2 Q0 CACM-2079 59 0.1394475789725131 TFIDFSystem
2 Q0 CACM-0337 60 0.1394475789725131 TFIDFSystem
2 Q0 CACM-0233 61 0.1394475789725131 TFIDFSystem
2 Q0 CACM-1352 62 0.1362691425334098 TFIDFSystem
2 Q0 CACM-2835 63 0.1355642056870051 TFIDFSystem
2 Q0 CACM-1973 64 0.13469978658764234 TFIDFSystem
2 Q0 CACM-2533 65 0.13280721806906007 TFIDFSystem
2 Q0 CACM-0018 66 0.13280721806906007 TFIDFSystem
2 Q0 CACM-2290 67 0.13168392135952187 TFIDFSystem
2 Q0 CACM-1756 68 0.12872084212847362 TFIDFSystem
2 Q0 CACM-3113 69 0.1285159746936783 TFIDFSystem
2 Q0 CACM-2015 70 0.12788223723514675 TFIDFSystem
2 Q0 CACM-2648 71 0.12755941974048104 TFIDFSystem
2 Q0 CACM-2462 72 0.12754894103980421 TFIDFSystem
2 Q0 CACM-0164 73 0.12754894103980421 TFIDFSystem
2 Q0 CACM-2585 74 0.12704281880560736 TFIDFSystem
2 Q0 CACM-1187 75 0.12677052633864824 TFIDFSystem
2 Q0 CACM-0114 76 0.12677052633864824 TFIDFSystem
2 Q0 CACM-1204 77 0.12624141974356712 TFIDFSystem
2 Q0 CACM-2797 78 0.12619709130287513 TFIDFSystem
2 Q0 CACM-1369 79 0.12583802155613663 TFIDFSystem
2 Q0 CACM-2885 80 0.12309359766087449 TFIDFSystem
2 Q0 CACM-3033 81 0.12301002017274239 TFIDFSystem
2 Q0 CACM-2389 82 0.12264046359675972 TFIDFSystem
2 Q0 CACM-0753 83 0.12250557527683566 TFIDFSystem
2 Q0 CACM-2929 84 0.12226802940004812 TFIDFSystem
2 Q0 CACM-2690 85 0.1220889629436473 TFIDFSystem
2 Q0 CACM-2537 86 0.12163490750375383 TFIDFSystem
2 Q0 CACM-2339 87 0.12145773754683321 TFIDFSystem
2 Q0 CACM-2459 88 0.1212587643239244 TFIDFSystem
2 Q0 CACM-0675 89 0.12088766156057416 TFIDFSystem
2 Q0 CACM-2033 90 0.1189072355538656 TFIDFSystem
2 Q0 CACM-1932 91 0.1175576756357537 TFIDFSystem
2 Q0 CACM-3126 92 0.11721354638548209 TFIDFSystem
2 Q0 CACM-2351 93 0.11648962274111552 TFIDFSystem
2 Q0 CACM-1232 94 0.11620631581042756 TFIDFSystem
2 Q0 CACM-0529 95 0.11620631581042756 TFIDFSystem
2 Q0 CACM-0265 96 0.11608458771691055 TFIDFSystem
2 Q0 CACM-2904 97 0.11426238461790213 TFIDFSystem
2 Q0 CACM-2716 98 0.11423273764460769 TFIDFSystem
2 Q0 CACM-2853 99 0.11421225565696037 TFIDFSystem
2 Q0 CACM-1065 100 0.11421225565696037 TFIDFSystem
